grid,drv_pts_to_date,drv_roll_pts_5,drv_roll_pos_5,drv_roll_dnf_5,con_pts_to_date,con_roll_pts_5,round_norm,win,season
11,0.0,0.0,15.0,1.0,0.0,0.0,0.4,0,2020
18,0.0,0.0,11.0,0.0,0.0,0.0,0.4,0,2020
5,4.0,4.0,8.0,0.0,8.0,2.6666666666666665,0.4,0,2020
14,18.0,18.0,2.0,0.0,19.0,9.5,0.4,0,2020
10,1.0,1.0,10.0,0.0,19.0,6.333333333333333,0.4,0,2020
1,37.0,18.5,2.5,0.0,80.0,20.0,0.6,1,2020
7,15.0,7.5,11.5,0.5,27.0,6.75,0.6,0,2020
2,43.0,21.5,1.5,0.0,106.0,21.2,0.6,0,2020
3,6.0,3.0,12.5,0.5,22.0,5.5,0.6,0,2020
13,12.0,6.0,8.5,0.5,45.0,9.0,0.6,0,2020
5,1.0,0.5,15.0,0.5,19.0,4.75,0.6,0,2020
4,16.0,8.0,6.0,0.0,34.0,6.8,0.6,0,2020
11,4.0,2.0,13.5,0.5,8.0,2.0,0.6,0,2020
9,13.0,6.5,7.0,0.0,39.0,9.75,0.6,0,2020
0,0.0,0.0,14.5,0.5,0.0,0.0,0.6,0,2020
6,18.0,9.0,10.5,0.5,27.0,5.4,0.6,0,2020
17,1.0,0.5,11.0,0.5,7.0,1.75,0.6,0,2020
8,26.0,13.0,4.0,0.0,41.0,8.2,0.6,0,2020
14,4.0,2.0,13.0,0.5,12.0,2.4,0.6,0,2020
20,0.0,0.0,12.5,0.5,2.0,0.5,0.6,0,2020
0,0.0,0.0,14.5,0.5,1.0,0.2,0.6,0,2020
19,2.0,1.0,11.5,0.0,2.0,0.4,0.6,0,2020
12,0.0,0.0,15.5,0.5,0.0,0.0,0.6,0,2020
15,0.0,0.0,14.0,0.0,0.0,0.0,0.6,0,2020
10,6.0,3.0,11.0,0.0,7.0,1.4,0.6,0,2020
1,63.0,21.0,2.0,0.0,121.0,19.2,0.8,1,2020
3,33.0,11.0,8.333333333333334,0.3333333333333333,55.0,11.0,0.8,0,2020
4,18.0,6.0,10.666666666666666,0.3333333333333333,27.0,1.8,0.8,0,2020
8,8.0,2.6666666666666665,11.666666666666666,0.3333333333333333,12.0,1.6,0.8,0,2020
5,26.0,8.666666666666666,7.0,0.0,41.0,5.0,0.8,0,2020
9,4.0,1.3333333333333333,13.333333333333334,0.3333333333333333,24.0,4.0,0.8,0,2020
11,6.0,2.0,14.0,0.3333333333333333,7.0,0.2,0.8,0,2020
